Title,Cleaned_Title,Cleaned Title
chief executive officer,CEO,
chief operating officer,COO,
chief financial officer,CFO,
chief information officer,Chief Information Officer,
chief technology officer,Chief Technology Officer,
chief marketing officer,Chief Marketing Officer,
chief sales officer,Chief Sales Officer,
chief human resources officer,Chief Human Resources Officer,
chief legal officer,Chief Legal Officer,
chief compliance officer,Chief Compliance Officer,
chief risk officer,Chief Risk Officer,
chief data officer,Chief Data Officer,
chief analytics officer,Chief Analytics Officer,
chief innovation officer,Chief Innovation Officer,
chief digital officer,Chief Digital Officer,
chief security officer,Chief Security Officer,
chief information security officer,Chief Information Security Officer,
chief privacy officer,Chief Privacy Officer,
chief sustainability officer,Chief Sustainability Officer,
chief diversity officer,Chief Diversity Officer,
chief inclusion officer,Chief Inclusion Officer,
chief procurement officer,Chief Procurement Officer,
chief supply chain officer,Chief Supply Chain Officer,
chief operating officer,Chief Operating Officer,
chief strategy officer,Chief Strategy Officer,
chief investment officer,Chief Investment Officer,
chief accounting officer,Chief Accounting Officer,
chief audit executive,Chief Audit Executive,
chief corporate development officer,Chief Corporate Development Officer,
chief business development officer,Chief Business Development Officer,
chief customer officer,Chief Customer Officer,
chief experience officer,Chief Experience Officer,
chief product officer,Chief Product Officer,
chief merchandising officer,Chief Merchandising Officer,
chief revenue officer,Chief Revenue Officer,
chief commercial officer,Chief Commercial Officer,
chief administrative officer,Chief Administrative Officer,
chief development officer,Chief Development Officer,
chief quality officer,Chief Quality Officer,
chief clinical officer,Chief Clinical Officer,
chief medical officer,Chief Medical Officer,
chief nursing officer,Chief Nursing Officer,
chief pharmacy officer,Chief Pharmacy Officer,
chief scientific officer,Chief Scientific Officer,
chief research officer,Chief Research Officer,
chief academic officer,Chief Academic Officer,
chief learning officer,Chief Learning Officer,
chief talent officer,Chief Talent Officer,
chief people officer,Chief People Officer,
chief engagement officer,Chief Engagement Officer,
chief communications officer,Chief Communications Officer,
chief brand officer,Chief Brand Officer,
chief content officer,Chief Content Officer,
chief creative officer,Chief Creative Officer,
chief design officer,Chief Design Officer,
chief digital transformation officer,Chief Digital Transformation Officer,
chief technology innovation officer,Chief Technology Innovation Officer,
chief artificial intelligence officer,Chief Artificial Intelligence Officer,
chief robotics officer,Chief Robotics Officer,
chief automation officer,Chief Automation Officer,
chief machine learning officer,Chief Machine Learning Officer,
chief blockchain officer,Chief Blockchain Officer,
chief quantum computing officer,Chief Quantum Computing Officer,
chief augmented reality officer,Chief Augmented Reality Officer,
chief virtual reality officer,Chief Virtual Reality Officer,
chief internet of things officer,Chief Internet of Things Officer,
chief smart cities officer,Chief Smart Cities Officer,
chief cloud officer,Chief Cloud Officer,
chief devops officer,Chief DevOps Officer,
chief software officer,Chief Software Officer,
chief platform officer,Chief Platform Officer,
chief infrastructure officer,Chief Infrastructure Officer,
chief enterprise architecture officer,Chief Enterprise Architecture Officer,
chief systems officer,Chief Systems Officer,
chief applications officer,Chief Applications Officer,
chief integration officer,Chief Integration Officer,
chief database officer,Chief Database Officer,
chief network officer,Chief Network Officer,
chief support officer,Chief Support Officer,
chief user experience officer,Chief User Experience Officer,
chief user interface officer,Chief User Interface Officer,
chief customer success officer,Chief Customer Success Officer,
chief customer experience officer,Chief Customer Experience Officer,
chief service delivery officer,Chief Service Delivery Officer,
chief field operations officer,Chief Field Operations Officer,
chief maintenance officer,Chief Maintenance Officer,
chief manufacturing officer,Chief Manufacturing Officer,
chief production officer,Chief Production Officer,
chief operations officer,Chief Operations Officer,
chief engineering officer,Chief Engineering Officer,
chief technical officer,Chief Technical Officer,
chief scientific computing officer,Chief Scientific Computing Officer,
chief biostatistics officer,Chief Biostatistics Officer,
chief clinical operations officer,Chief Clinical Operations Officer,
chief medical informatics officer,Chief Medical Informatics Officer,
chief population health officer,Chief Population Health Officer,
chief health information officer,Chief Health Information Officer,
chief population health management officer,Chief Population Health Management Officer,
chief wellness officer,Chief Wellness Officer,
chief health officer,Chief Health Officer,
chief medical affairs officer,Chief Medical Affairs Officer,
chief clinical development officer,Chief Clinical Development Officer,
chief regulatory affairs officer,Chief Regulatory Affairs Officer,
chief safety officer,Chief Safety Officer,
